Temps en minutes;Critères C/I : UA -> UA terrestrial;UA -> UA Satellite ;UA -> ground station;UA -> Satellite; Critères I/N  : UA -> UA ;UA -> ground station;UA -> Satellite
0.0;-inf;-inf;-3.706689259129263;-3.369167502841833;-inf;8.242315825197494;10.905240692858825
1.0;-36.08438073584726;-36.08438073584726;-3.715975805647645;-3.3854707984792896;-36.08438073584726;8.330093239019618;11.000033444900296
2.0;-29.986173641303324;-29.986173641303324;-3.7269710649174215;-3.403364777398778;-29.986173641303324;8.418302476141292;11.095139988620431
3.0;-26.388114263542818;-26.388114263542818;-3.739749814766867;-3.4229239414807466;-26.388114263542818;8.506922384227437;11.190538898338474
4.0;-23.814576818950798;-23.814576818950798;-3.7543895703940677;-3.4442256806705416;-23.814576818950798;8.595931976071284;11.286209064386526
5.0;-21.80318620020732;-21.80318620020732;-3.770970499170275;-3.4673501879139224;-21.80318620020732;8.685310546432603;11.382129810078652
6.0;-20.148046277916123;-20.148046277916123;-3.7895752924637094;-3.4923803295995555;-20.148046277916123;8.775037780105535;11.478280998394197
7.0;-18.739375706634377;-18.739375706634377;-3.8102889874218278;-3.519401464228764;-18.739375706634377;8.865093845459356;11.574643122400573
8.0;-17.511688630307617;-17.511688630307617;-3.8331987309674957;-3.5485012013368618;-17.511688630307617;8.955459466664678;11.671197372396918
9.0;-16.42278431428892;-16.42278431428892;-3.8583934775983693;-3.579769092022005;-16.42278431428892;9.046115966727697;11.767925671666902
10.0;-15.44388335981273;-15.44388335981273;-3.8859636119345;-3.6132962417861165;-15.44388335981273;9.137045272328464;11.864810671597326
11.0;-14.554490098786289;-14.554490098786289;-3.9160004863954043;-3.649174835837755;-14.554490098786289;9.228229870328988;11.961835695795713
12.0;-13.739499723388064;-13.739499723388064;-3.948595863895278;-3.6874975665222536;-13.739499723388064;9.319652704714699;12.058984621747456
13.0;-12.987467121128901;-12.987467121128901;-3.983841255111358;-3.7283569522324456;-12.987467121128901;9.411297001711475;12.156241687553006
14.0;-12.289518883977081;-12.289518883977081;-4.021827139707483;-3.7718445370109634;-12.289518883977081;9.503146009934426;12.253591210430358
15.0;-11.63864138071682;-11.63864138071682;-4.0626420609761595;-3.8180499601782003;-11.63864138071682;9.595182641744927;12.351017203029983
16.0;-11.029198863102152;-11.029198863102152;-4.1063715837345995;-3.867059885749967;-11.029198863102152;9.687389001594184;12.448502873269206
17.0;-10.456597729337318;-10.456597729337318;-4.153097106052357;-3.9189567822165543;-10.456597729337318;9.779745787112219;12.546029993439788
18.0;-9.917046715428256;-9.917046715428256;-4.202894516588259;-3.9738175445451134;-9.917046715428256;9.872231549151877;12.64357812488214
19.0;-9.407381840220097;-9.407381840220097;-4.255832691035579;-4.031711952083896;-9.407381840220097;9.9648217980357;12.741123685654685
20.0;-8.924936147927127;-8.924936147927127;-4.311971823530939;-4.092700958520112;-8.924936147927127;10.057487944990157;12.83863885047893
21.0;-8.467441122409468;-8.467441122409468;-4.371361591949892;-4.156834813235079;-8.467441122409468;10.15019607030868;12.936090274923814
22.0;-8.032950931228811;-8.032950931228811;-4.434039159895605;-4.224151017423367;-8.032950931228811;10.242905513276213;13.033437639422345
23.0;-7.61978341535044;-7.61978341535044;-4.500027022967288;-4.294672123264377;-7.61978341535044;10.335567283437143;13.130632013404863
24.0;-7.226473557729378;-7.226473557729378;-4.56933071266333;-4.368403390348931;-7.226473557729378;10.428122298476993;13.227614045667849
25.0;-6.851736386882635;-6.851736386882635;-4.641936378080231;-4.445330320508845;-6.851736386882635;10.520499460913328;13.324311994161462
26.0;-6.494437110021693;-6.494437110021693;-4.717808273452263;-4.52541610021099;-6.494437110021693;10.612613593977002;13.420639616693776
27.0;-6.153566855053583;-6.153566855053583;-4.796886188531758;-4.608598988738393;-6.153566855053583;10.704363266519735;13.516493953611175
28.0;-5.828222814857099;-5.828222814857099;-4.879082868771135;-4.694789700421822;-5.828222814857099;10.79562854743348;13.611753044243457
29.0;-5.517591884599568;-5.517591884599568;-4.964281483091639;-4.783868840049493;-5.517591884599568;10.886268741758641;13.706273630633817
30.0;-5.220937099106493;-5.220937099106493;-5.052333208481713;-4.875684462036304;-5.220937099106493;10.976120173142249;13.799888914553662
31.0;-4.937586336363012;-4.937586336363012;-5.143055012387876;-4.970049835594409;-4.937586336363012;11.064994090187199;13.892406446622687
32.0;-4.666922871472906;-4.666922871472906;-5.236227725362966;-5.066741509534523;-4.666922871472906;11.152674786990218;13.983606238996515
33.0;-4.408377454130573;-4.408377454130573;-5.331594507010635;-5.165497780723626;-4.408377454130573;11.238918040071752;14.073239204812523
34.0;-4.161421649857061;-4.161421649857061;-5.4288598171069395;-5.266017678834672;-4.161421649857061;11.32344997408373;14.161026037533205
35.0;-3.9255622365424188;-3.9255622365424188;-5.5276890097962905;-5.367960585747667;-3.9255622365424188;11.405966476038827;14.246656650394371
36.0;-3.7003364873316116;-3.7003364873316116;-5.627708670789218;-5.470946609662661;-3.7003364873316116;11.486133281107527;14.329790299135652
37.0;-3.4853082015184498;-3.4853082015184498;-5.728507814159457;-5.574557830285883;-3.4853082015184498;11.563586850891824;14.410056508686566
38.0;-3.2800643690923152;-3.2800643690923152;-5.829640045314534;-5.678340521048312;-3.2800643690923152;11.63793615611533;14.48705691513186
39.0;-3.0842123734892937;-3.0842123734892937;-5.930626778667829;-5.781808435889133;-3.0842123734892937;11.708765458539858;14.560368116770519
40.0;-2.8973776521849857;-2.8973776521849857;-6.030961571484681;-5.884447220726614;-2.8973776521849857;11.775638160589779;14.629545601398533
41.0;-2.7192017468945267;-2.7192017468945267;-6.130115598730555;-5.985719972778369;-2.7192017468945267;11.838101755073609;14.69412878053889
42.0;-2.5493406850401925;-2.5493406850401925;-6.227544247694823;-6.085073924588627;-2.5493406850401925;11.89569386168472;14.753647115383203
43.0;-2.387463642290129;-2.387463642290129;-6.322694756789744;-6.18194817506415;-2.387463642290129;11.9479492827531;14.807627264818905
44.0;-2.2332518427846253;-2.2332518427846253;-6.4150147625158525;-6.275782329324031;-2.2332518427846253;11.9944079502813;14.855601125388077
45.0;-2.086397659426865;-2.086397659426865;-6.503961555551541;-6.366025846130199;-2.086397659426865;12.03462357306583;14.897114569788002
46.0;-1.9466038815471052;-1.9466038815471052;-6.589011785914323;-6.452147830747421;-1.9466038815471052;12.068172731344248;14.931736629254104
47.0;-1.813583121535288;-1.813583121535288;-6.669671303580429;-6.53364695769028;-1.813583121535288;12.094664112358288;14.95906881128559
48.0;-1.687057335777638;-1.687057335777638;-6.745484780672243;-6.610061167781254;-1.687057335777638;12.113747539357448;14.978754203553677
49.0;-1.5667574385479384;-1.5667574385479384;-6.816044739831582;-6.6809767627513565;-1.5667574385479384;12.125122424399805;14.99048599296043
50.0;-1.4524229904381514;-1.4524229904381514;-6.880999615031399;-6.7460365225823296;-1.4524229904381514;12.128545276210346;14.994015030056374
51.0;-1.3438019455397523;-1.3438019455397523;-6.9400604983638345;-6.80494649842656;-1.3438019455397523;12.123835920880254;14.989156095897172
52.0;-1.240650443922675;-1.240650443922675;-6.99300627915926;-6.857481187105549;-1.240650443922675;12.110882145236019;14.975792580814954
53.0;-1.1427326380558327;-1.1427326380558327;-7.039686957340706;-6.903486869066796;-1.1427326380558327;12.089642547494975;14.953879359696003
54.0;-1.0498205436710748;-1.0498205436710748;-7.080025005602337;-6.942882984660855;-1.0498205436710748;12.060147471778478;14.923443740609258
55.0;-0.9616939072307389;-0.9616939072307389;-7.114014757191157;-6.975661526046366;-0.9616939072307389;12.022498004552588;14.884584465383995
56.0;-0.8781400836192006;-0.8781400836192006;-7.141719898868828;-7.0018845250353365;-0.8781400836192006;11.976863113231289;14.837468843107615
57.0;-0.7989539189583468;-0.7989539189583468;-7.1632692432103084;-7.021679811933367;-0.7989539189583468;11.923475101183143;14.782328191682083
58.0;2.506932372428736;2.506932372428736;-6.308525202253364;-6.132387210491146;2.506932372428736;10.992297800731976;13.816603752132522
59.0;2.4267309080061352;2.4267309080061352;-6.3208431902990725;-6.141979302135567;2.4267309080061352;10.926785731093773;13.748367207978035
60.0;2.3463740785262814;2.3463740785262814;-6.326481275670275;-6.144508031740926;2.3463740785262814;10.853293539830005;13.671767080699524
